soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
0,N1,9.304346547734231e-08,-4.22723142975589e-08,-60.037750753003394
0,N2,9.30425775192848e-08,-1.177254011878135e-08,-60.037907290694754
0,N3,9.30422767886999e-08,-2.890952207869501e-08,-60.03790727782947
0,N4,9.304232985953383e-08,-2.4958492990498665e-08,-60.03790725356486
0,N5,1.0427121270007604e-07,1.8818853016044456e-09,-58.80748413932503
1,N1,4.736134623470991,-5.0402978939093747e-08,-60.037750753003394
1,N2,6.598510370069911,-1.3797706016054525e-08,-60.037907290694754
1,N3,5.65934912990168,-3.4401676511562566e-08,-60.03790727782947
1,N4,5.9531202371296,-2.964114782494553e-08,-60.03790725356486
1,N5,13.350971208782479,1.3271286109162915e-09,-58.80748413932503
2,N1,10.651902370968251,-6.353811695244164e-08,-60.037750753003394
2,N2,22.323897167068367,-2.0056784675660688e-08,-60.037907290694754
2,N3,14.846275234446935,-4.607674702060227e-08,-60.03790727782947
2,N4,16.27354753565132,-4.016546331306662e-08,-60.03790725356486
2,N5,63.43359999637767,-9.349853507229154e-10,-58.80748413932503
3,N1,16.194026188938246,-8.033816081419151e-08,-60.037750753003394
3,N2,41.8152814690235,-3.0404346479710224e-08,-60.037907290694754
3,N3,24.45568666985995,-6.37903929229688e-08,-60.03790727782947
3,N4,27.218082528726104,-5.6269468274586816e-08,-60.03790725356486
3,N5,115.17506077763176,-4.853448438172474e-09,-58.80748413932503
4,N1,21.370108838144283,-1.0499838983940619e-07,-60.037750753003394
4,N2,62.29413602882609,-5.2565758345778455e-08,-60.037907290694754
4,N3,34.24369043678652,-9.824704420820125e-08,-60.03790727782947
4,N4,38.20121087340413,-8.748412871134248e-08,-60.03790725356486
4,N5,167.0144884532126,-1.3158584338147655e-08,-58.80748413932503
5,N1,26.717469423887113,-1.5045759107639187e-07,-60.037750753003394
5,N2,85.22558296044343,-1.5853886209972192e-07,-60.037907290694754
5,N3,45.44926537698773,-2.2379435641524874e-07,-60.03790727782947
5,N4,50.75657656490513,-2.0207456482074099e-07,-60.03790725356486
5,N5,218.9824830784058,-4.289900973653792e-08,-58.80748413932503
6,N1,30.126579949611536,-2.23143226864308e-07,-60.037750753003394
6,N2,94.52082580278457,-9317.265050157885,-60.037907290694754
6,N3,52.89007917928925,-8291.62142303162,-60.03790727782947
6,N4,58.86852188363143,-3897.480474849911,-60.03790725356486
6,N5,253.50092214949717,-32.14495708791902,-58.80748413932503
7,N1,39.36977591727699,-1646.4547543432525,-60.037750753003394
7,N2,65.24614346605303,-5.641452887725122e-08,-60.037907290694754
7,N3,52.89007917436715,-1025.6436260957578,-60.03790727782947
7,N4,58.86852188308607,-5419.146110945236,-60.03790725356486
7,N5,195.09421193622515,-2.574237333120821e-08,-58.80748413932503
8,N1,19.684887686041275,-9.454462822281488e-08,-60.037750753003394
8,N2,30.252268343617345,-2.201025195343053e-08,-60.037907290694754
8,N3,24.636861270613622,-6.771931934170899e-08,-60.03790727782947
8,N4,29.434260768400314,-5.991698564708443e-08,-60.03790725356486
8,N5,137.62382149698388,-8.043735582759019e-09,-58.80748413932503
9,N1,-7.009425369690095e-09,-4.227231427860527e-08,-60.037750753003394
9,N2,-9.819082566389814e-09,-1.1772540091904512e-08,-60.037907290694754
9,N3,-9.799303545028847e-09,-2.8909521981230688e-08,-60.03790727782947
9,N4,-9.713007750131584e-09,-2.49584931817978e-08,-60.03790725356486
9,N5,80.03990403115257,-2.0673488513230563e-09,-58.80748413932503
10,N1,2.8426714786733656e-07,-4.2272314766171023e-08,-60.037750753003394
10,N2,2.837056349720773e-07,-1.1772540195345638e-08,-60.037907290694754
10,N3,2.837082556773134e-07,-2.890952232115966e-08,-60.03790727782947
10,N4,2.837265040895491e-07,-2.49584932424114e-08,-60.03790725356486
10,N5,22.037666568558183,9.546793206875717e-10,-58.80748413932503
11,N1,4.9296816191359317e-08,-4.227231421777099e-08,-60.037750753003394
11,N2,4.9287404463163075e-08,-1.177254010416137e-08,-60.037907290694754
11,N3,4.928737237474406e-08,-2.8909522031079437e-08,-60.03790727782947
11,N4,4.9287740754338434e-08,-2.495849296594408e-08,-60.03790725356486
11,N5,5.944891739998895e-08,1.8818853068040566e-09,-58.80748413932503
12,N1,5.159847708082196,-5.44688049798351e-08,-60.037750753003394
12,N2,5.711024277850914,-1.4440764514719245e-08,-60.037907290694754
12,N3,5.280349644902279,-3.631884506060852e-08,-60.03790727782947
12,N4,5.670586841701833,-3.144347166588394e-08,-60.03790725356486
12,N5,57.859880649196796,-4.968676664204279e-10,-58.80748413932503
13,N1,16.892466127518695,-8.530883657421158e-08,-60.037750753003394
13,N2,38.76129134835503,-2.7281658196210427e-08,-60.037907290694754
13,N3,22.088461141260787,-5.925566961078355e-08,-60.03790727782947
13,N4,24.382678536294627,-5.203734302121163e-08,-60.03790725356486
13,N5,115.71976123853143,-4.8503422556017775e-09,-58.80748413932503
14,N1,28.903625294240044,-1.6902834780438924e-07,-60.037750753003394
14,N2,73.60356505131625,-6.63053941332564e-08,-60.037907290694754
14,N3,39.56005757787056,-1.2331019316118727e-07,-60.03790727782947
14,N4,43.68353785463455,-1.105968410397065e-07,-60.03790725356486
14,N5,173.57964182749785,-1.537401338444797e-08,-58.80748413932503
15,N1,39.369743739065804,-2.697054936602336e-06,-60.037750753003394
15,N2,94.52079361141176,-2.68789540574662e-06,-60.037907290694754
15,N3,52.89004700624495,-2.7022936655049483e-06,-60.03790727782947
15,N4,58.86848969664633,-2.6841413868883616e-06,-60.03790725356486
15,N5,231.43952241619306,-7.70768196695967e-08,-58.80748413932503
16,N1,39.36977586067522,-35.24630166235466,-60.037750753003394
16,N2,94.52082574356896,-35.247200930633475,-60.037907290694754
16,N3,52.89007912010155,-35.24720086332882,-60.03790727782947
16,N4,58.86852182464292,-35.247200733325435,-60.03790725356486
16,N5,253.50092213718386,-32.144952100131704,-58.80748413932503
17,N1,39.369775626215215,-4.602430697459709,-60.037750753003394
17,N2,94.52082550921232,-4.604766493591337,-60.037907290694754
17,N3,52.890078885753724,-4.604766432336322,-60.03790727782947
17,N4,58.8685215903073,-4.604766031245827,-60.03790725356486
17,N5,213.46266299072823,-4.096313782888339e-08,-58.80748413932503
18,N1,39.369775919255154,-1607.0997168180736,-60.037750753003394
18,N2,94.52082580267773,-9277.413078514253,-60.037907290694754
18,N3,52.8900791792489,-9277.41307903377,-60.03790727782947
18,N4,58.86852188385739,-9277.413080674567,-60.03790725356486
18,N5,180.0706565730716,-1.806918293884633e-08,-58.80748413932503
19,N1,19.68490608705525,-1.2425488990444406e-07,-60.037750753003394
19,N2,90.88451414717503,-7.360862083195516e-07,-60.037907290694754
19,N3,48.523762674311925,-5.248062023090017e-07,-60.03790727782947
19,N4,42.79543324779826,-1.0437853901799636e-07,-60.03790725356486
19,N5,150.217094492627,-1.0051400926583857e-08,-58.80748413932503
20,N1,19.684870547618218,-6.930540674591099e-08,-60.037750753003394
20,N2,40.392624659435334,-3.049433084641795e-08,-60.037907290694754
20,N3,20.2705218983371,-5.966251110973552e-08,-60.03790727782947
20,N4,21.489097307299414,-4.424361940810228e-08,-60.03790725356486
20,N5,121.66207952439977,-5.776110453747894e-09,-58.80748413932503
21,N1,-9.182093112614899e-09,-4.2272314143591325e-08,-60.037750753003394
21,N2,-9.712966184351035e-09,-1.1772540088923737e-08,-60.037907290694754
21,N3,-9.751781153556973e-09,-2.8909521984413428e-08,-60.03790727782947
21,N4,-9.819066202836627e-09,-2.495849292036112e-08,-60.03790725356486
21,N5,93.03865994687536,-2.989191609751238e-09,-58.80748413932503
22,N1,4.378148067573244e-07,-4.227231505671034e-08,-60.037750753003394
22,N2,4.3769842203306727e-07,-1.1772540249938321e-08,-60.037907290694754
22,N3,4.376869095771585e-07,-2.8909522498498198e-08,-60.03790727782947
22,N4,4.3767424757923313e-07,-2.4958493330014087e-08,-60.03790725356486
22,N5,63.60133633874441,-9.883469852549366e-10,-58.80748413932503
23,N1,4.510012191603614e-07,-4.227231507562984e-08,-60.037750753003394
23,N2,4.509440198126141e-07,-1.1772540253729965e-08,-60.037907290694754
23,N3,4.5093684398604526e-07,-2.8909522510421656e-08,-60.03790727782947
23,N4,4.509316705612415e-07,-2.4958493338656576e-08,-60.03790725356486
23,N5,32.05981902788196,5.915996071071898e-10,-58.80748413932503
24,N1,9.304346547734231e-08,-4.22723142992844e-08,-60.037750753003394
24,N2,9.30425775192848e-08,-1.1772540119193306e-08,-60.037907290694754
24,N3,9.30422767886999e-08,-2.8909522080009857e-08,-60.03790727782947
24,N4,9.304232985953383e-08,-2.4958492991520134e-08,-60.03790725356486
24,N5,1.0427121270007604e-07,1.8818853015427644e-09,-58.80748413932503
